Accuracy,Precision,Recall,Specificity,F1-score
1.0,1.0,1.0,1.0,1.0
0.9936305732484076,1.0,0.95,1.0,0.9743589743589743
[[137   0]
 [  1  19]]
Cross-Validation Scores: [0.99363057 0.97452229 0.99363057 1.         1.        ]
Average CV Score: 0.9923566878980893
0.9808917197452229,1.0,0.75,1.0,0.8571428571428571
1.0,1.0,1.0,1.0,1.0
0.9936305732484076,0.9523809523809523,1.0,0.9927007299270073,0.975609756097561
1.0,1.0,1.0,1.0,1.0
0.9936305732484076,1.0,0.9473684210526315,1.0,0.972972972972973
0.9872611464968153,1.0,0.8666666666666667,1.0,0.9285714285714286
0.9936305732484076,0.95,1.0,0.9927536231884058,0.9743589743589743
