Accuracy,Precision,Recall,Specificity,F1-score
0.9751552795031055,1.0,0.8518518518518519,1.0,0.92
0.9937888198757764,0.9523809523809523,1.0,0.9929078014184397,0.975609756097561
[[140   1]
 [  0  20]]
Cross-Validation Scores: [0.98757764 1.         0.97515528 0.97515528 0.98757764]
Average CV Score: 0.9850931677018633
0.9751552795031055,0.9411764705882353,0.8421052631578947,0.9929577464788732,0.8888888888888888
0.968944099378882,1.0,0.782608695652174,1.0,0.8780487804878049
0.9937888198757764,0.9444444444444444,1.0,0.9930555555555556,0.9714285714285714
0.9751552795031055,1.0,0.8095238095238095,1.0,0.8947368421052632
0.968944099378882,0.9411764705882353,0.8,0.9929078014184397,0.8648648648648649
0.9937888198757764,1.0,0.9411764705882353,1.0,0.9696969696969697
0.9875776397515528,1.0,0.92,1.0,0.9583333333333334
