Accuracy,Precision,Recall,Specificity,F1-score
0.9583333333333334,0.7777777777777778,0.9545454545454546,0.958904109589041,0.8571428571428571
0.9642857142857143,0.9032258064516129,0.9032258064516129,0.9781021897810219,0.9032258064516129
[[134   3]
 [  3  28]]
 Average CV Score: 0.9545908183632734
30 percent test set: 0.9563492063492064,0.8695652173913043,0.8888888888888888,0.9710144927536232,0.8791208791208791
0.9523809523809523,0.8461538461538461,0.8461538461538461,0.971830985915493,0.8461538461538461
0.9523809523809523,0.8387096774193549,0.896551724137931,0.9640287769784173,0.8666666666666667
