uuid,dir_path,typosquatting_list,3rd_party_hits,domain_length,name_presence,form_presence,number_links,number_empty_links,number_links_domain,latitude,longitude,red_value_screenshot,green_value_screenshot,blue_value_screenshot,red_value_favicon,green_value_favicon,blue_value_favicon,hash_screenshot,hash_favicon,similarius_sim,malicious,company_site
2902c513-72c4-4d91-82a5-4cf0c244ccf2,../other/2024-08-27T12:36:57.940406,0,0,19,0,1,39,0,34,60,-95,5,0,124,126,3,95,93973690547728856499885659772382385232226098038166645552906273830041216641374,59495277384154635840148735353938393127880660546926624756044530790997693104872,0,2,0
3596fa3f-fdc6-479f-997e-ad4edce92b8a,../other/2024-08-27T12:26:23.337046,0,0,18,0,1,87,15,78,38,-97,71,19,84,0,0,0,85283388525738006459718292246291728866908275931726342206634691924286188357347,15689078176356705737512119593442596119802384289221018236962716756856907289632,1,2,0
a2fdd13b-cf8b-45dc-829c-59a9e393bbd2,../other/2024-08-27T12:32:11.472980,0,0,11,0,0,1,0,0,38,-97,23,0,6,0,0,0,32757013269464247751977931963680978613097526136136010305624872811480755858793,0,1,2,0
f3314365-4823-4b72-a4ff-e24142155cac,../other/2024-08-27T12:35:53.374471,0,0,16,0,1,135,2,30,38,-97,12,23,135,15,173,0,54290367809356593541686420432677953086873945413476266579202481993356334507424,19501545881927860860760003671541955903954964007417943890322573319261358576291,1,2,0
5212ef98-99cb-4f58-b2d9-1220b4d0e6cf,../other/2024-08-27T12:37:29.489477,0,0,16,0,1,3210,27,3,46,2,256,0,0,0,0,0,112615811864388987701730097469040581732581730246948533761698376970224246446379,0,2,2,0
4ce375af-d454-4b27-9438-4c1afc1b8ab5,../other/2024-08-27T12:36:11.362426,0,0,23,0,0,1,0,0,38,-97,0,0,50,0,0,0,44047152190983130831823569967474967386611464432214248126376127803595879042544,0,0,2,0
145e750e-ef6e-48e5-affa-c4f59a31a993,../other/2024-08-27T12:27:48.617811,0,0,13,0,1,455,33,411,38,-97,45,31,93,0,0,50,13716220845751390215540418611581250147453284906884651256437853215710514399297,114293489074551197543277121235768052089975861148361160776859865834263757277473,0,2,0
5f3e05fb-930f-4aaa-9eb5-d8a804b71410,../other/2024-08-27T12:26:24.265143,0,0,16,0,1,24,0,0,38,-97,98,22,72,172,0,43,100685164378325824138866250977990532683948505894264743751708189912743218949350,62506786990691445662441612123227312731985448752987977928019730551648659700727,0,2,0
cafd8260-fa74-4792-9d95-127ea99eb730,../other/2024-08-27T16:10:18.403145,0,0,15,0,1,417,0,29,38,-97,59,3,28,0,0,218,68775769381697224768060360862101678266342631202939883387999665780644622499706,85670670155236576162723274871236198027526583033408551944435588321891550094490,17,2,0
a58a66d9-c956-455e-9e1a-9b4465f9b185,../other/2024-08-27T12:27:47.453984,0,0,16,0,1,374,0,7,35,105,92,16,73,230,0,0,23155063392311413649820714954222299604629406209957255700695209380585587475104,42414858876564926830090617208922863592162657323111674312365310965876222802781,0,2,0
4a43e034-228f-48c1-961e-6f3d5e543a4a,../other/2024-08-27T12:29:54.141654,0,0,17,0,1,94,0,10,38,-97,161,21,36,52,0,0,93120815807421072232398301727647379900044307709152953660636635526222608112401,47476117954782289761989865030532692594749197797206046164166546740484129211329,0,2,0
3d796efe-58e0-42a1-b7f1-c6c7029b05e8,../other/2024-08-27T12:37:20.983023,0,0,9,0,0,258,1,23,38,-97,55,25,152,0,0,186,18750675637317999305515347925319078472914543454216224966876829738294336681839,109291026407153764275059981563542318741534980090333908148851435942880234962013,3,2,0
6d8ba87b-068b-41d0-945e-0d4fcb791600,../other/2024-08-27T12:36:06.695154,0,0,14,0,1,146,0,114,38,-97,85,0,136,0,0,0,110105986082052096745805987862020876944145363217101488893133434730343537365351,0,1,2,0
9c3ca02b-65f4-421c-92ea-6ab616afd214,../other/2024-08-27T12:37:52.893207,0,0,6,0,1,272,36,232,46,2,74,3,154,64,1,104,74865227223816026009578734898128508627536167969143956194035969157012507495004,22681616620708291925088460701750665197971559721794917646825332678352562983351,9,2,0
ba26a4a1-f8c1-4460-827a-15b56596eb76,../other/2024-08-27T12:36:48.185278,0,0,15,0,1,259,1,226,38,-97,107,12,50,3,162,2,24747777774920055154994469360042005530904022104700280404363592806186151107514,100746150929862416295104094993874603955130888175139477437159142271292996835009,2,2,0
